gene_symbol	chromosome	start_loc	stop_loc	strand
5S_rRNA|10|ENSG00000199364	10	554538	554656	+
5S_rRNA|10|ENSG00000199402	10	63226	63340	-
5S_rRNA|10|ENSG00000199407	10	411373	411493	+
5S_rRNA|10|ENSG00000199535	10	57551	57669	+
5S_rRNA|10|ENSG00000199592	10	1028675	1028785	+
5S_rRNA|10|ENSG00000199638	10	764238	764356	+
5S_rRNA|10|ENSG00000199733	10	576517	576632	+
5S_rRNA|10|ENSG00000200079	10	195326	195435	+
5S_rRNA|10|ENSG00000200487	10	453894	454012	+
5S_rRNA|10|ENSG00000200626	10	703787	703906	+
5S_rRNA|10|ENSG00000201766	10	331513	331602	-
5S_rRNA|10|ENSG00000201861	10	317949	318061	-
5S_rRNA|10|ENSG00000202047	10	316049	316156	+
5S_rRNA|10|ENSG00000212331	10	190766	190883	-
5S_rRNA|10|ENSG00000212396	10	928590	928702	-
5S_rRNA|10|ENSG00000212499	10	575954	576051	-
5S_rRNA|10|ENSG00000212505	10	839179	839294	-
5S_rRNA|10|ENSG00000222100	10	749194	749309	+
5S_rRNA|10|ENSG00000222108	10	233239	233354	-
5S_rRNA|10|ENSG00000222406	10	279973	280088	+
5S_rRNA|10|ENSG00000222606	10	890212	890327	+
5S_rRNA|10|ENSG00000222740	10	249936	250044	-
5S_rRNA|10|ENSG00000223019	10	639451	639557	-
5S_rRNA|10|ENSG00000223131	10	241707	241810	+
5S_rRNA|10|ENSG00000223153	10	721212	721311	+
5S_rRNA|10|ENSG00000223222	10	399939	400054	+
5S_rRNA|11|ENSG00000199315	11	337083	337201	+
5S_rRNA|11|ENSG00000200168	11	464057	464167	-
5S_rRNA|11|ENSG00000200278	11	299410	299530	+
5S_rRNA|11|ENSG00000200336	11	701562	701679	-
5S_rRNA|11|ENSG00000200411	11	150793	150913	-
5S_rRNA|11|ENSG00000200613	11	511806	511914	-
5S_rRNA|11|ENSG00000200649	11	187016	187131	-
5S_rRNA|11|ENSG00000200687	11	871169	871285	-
5S_rRNA|11|ENSG00000201059	11	470183	470299	-
5S_rRNA|11|ENSG00000201149	11	200251	200355	-
5S_rRNA|11|ENSG00000201695	11	719566	719683	+
5S_rRNA|11|ENSG00000201856	11	239756	239874	-
5S_rRNA|11|ENSG00000202147	11	143639	143757	+
5S_rRNA|11|ENSG00000212289	11	191182	191303	-
5S_rRNA|11|ENSG00000212365	11	467269	467388	+
5S_rRNA|11|ENSG00000212416	11	819271	819394	+
5S_rRNA|11|ENSG00000212574	11	944683	944789	+
5S_rRNA|11|ENSG00000222427	11	111898	112005	+
5S_rRNA|11|ENSG00000222578	11	516237	516346	-
5S_rRNA|11|ENSG00000223013	11	120764	120872	+
5S_rRNA|12|ENSG00000199415	12	538964	539084	+
5S_rRNA|12|ENSG00000199556	12	610490	610607	+
5S_rRNA|12|ENSG00000199654	12	301517	301635	+
5S_rRNA|12|ENSG00000199690	12	691520	691637	+
5S_rRNA|12|ENSG00000199809	12	919731	919841	+
5S_rRNA|12|ENSG00000199843	12	893151	893267	-
5S_rRNA|12|ENSG00000199845	12	530215	530333	-
5S_rRNA|12|ENSG00000200516	12	896977	897096	-
5S_rRNA|12|ENSG00000201168	12	35315	35430	+
5S_rRNA|12|ENSG00000201469	12	866373	866485	-
5S_rRNA|12|ENSG00000201476	12	86252	86369	-
5S_rRNA|12|ENSG00000201708	12	895088	895200	-
5S_rRNA|12|ENSG00000201942	12	115718	115832	-
5S_rRNA|12|ENSG00000202187	12	601219	601310	+
5S_rRNA|12|ENSG00000202324	12	471379	471501	-
5S_rRNA|12|ENSG00000212138	12	773696	773814	+
5S_rRNA|12|ENSG00000212154	12	756725	756836	+
5S_rRNA|12|ENSG00000212251	12	395302	395413	-
5S_rRNA|12|ENSG00000212549	12	415596	415705	-
5S_rRNA|12|ENSG00000222295	12	208171	208277	-
5S_rRNA|12|ENSG00000222302	12	168571	168695	-
5S_rRNA|12|ENSG00000222354	12	914592	914698	-
5S_rRNA|12|ENSG00000223046	12	92318	92428	+
5S_rRNA|13|ENSG00000199276	13	219212	219331	-
5S_rRNA|13|ENSG00000199376	13	645374	645482	+
5S_rRNA|13|ENSG00000199873	13	27935	28038	-
5S_rRNA|13|ENSG00000200037	13	677490	677608	+
5S_rRNA|13|ENSG00000200709	13	431965	432084	-
5S_rRNA|13|ENSG00000200711	13	838077	838195	-
5S_rRNA|13|ENSG00000200880	13	280275	280380	-
5S_rRNA|13|ENSG00000202290	13	273134	273263	-
5S_rRNA|13|ENSG00000202422	13	59675	59789	+
5S_rRNA|13|ENSG00000212559	13	1158058	1158157	-
5S_rRNA|13|ENSG00000222129	13	246705	246837	-
5S_rRNA|13|ENSG00000222682	13	434566	434688	-
5S_rRNA|13|ENSG00000222747	13	16882	16991	-
