probe_id	chromosome	probe_location	gene_id
cg00000292	16	28890100	ATP2A1	NA
cg00002426	3	57743543	SLMAP
cg00003994	7	15725862	MEOX2
cg00005847	2	177029073	HOXD3
cg00006414	7	148822837	ZNF398
cg00007981	11	93862594	PANX1
cg00008493	14	93813777	COX8C
cg00008713	18	11980953	IMPA2
cg00009407	14	89290921	TTC8
cg00010193	4	1145216	FLJ35816
cg00011459	16	8890425	PMM2
cg00012199	14	21151024	RNASE4
cg00012386	1	227922512	C1orf142
cg00012792	6	8064493	TXNDC5
cg00013618	22	22380839	NA
cg00014085	2	85581505	RetSat
cg00014837	12	6757257	ACRBP
cg00015770	4	122302007	GPR103
cg00016968	1	113250448	RHOC
cg00019495	4	57547525	HOP
cg00020533	6	35480916	TULP1
cg00021527	17	34136180	TAF15
cg00022606	20	442445	TBC1D20
cg00022866	11	64108440	FLJ37970
cg00024396	6	53214008	ELOVL5
cg00024812	2	9564248	CPSF3
cg00025138	14	71275917	MAP3K9
cg00025991	10	736625	DIP2C
cg00027083	18	5543801	EPB41L3
cg00027674	11	87908897	RAB38
cg00029826	14	20801459	CCNB1IP1
cg00029931	X	100645741	RPL36A
cg00030047	1	6268790	C1orf188
cg00031162	17	7453377	TNFSF12-TNFSF13
cg00032227	17	72772512	NAT9
cg00032666	X	149613398	CXorf6
cg00033516	4	38666773	KLF3
cg00033773	19	12779366	MORG1
cg00034039	9	74526266	C9orf85
cg00035347	10	104953608	NT5C2
cg00035623	19	55919836	UBE2S
cg00037763	18	42281763	SETBP1
cg00037940	3	138479285	PIK3CB
cg00040861	19	2328391	LSM7
cg00040873	16	2009157	NDUFB10
cg00041575	11	2322741	TSPAN32
cg00042156	10	42970842	MGC16291
cg00043004	16	2030892	NOXO1
cg00043080	19	40853155	PLD3
cg00044245	6	94128889	EPHA7
cg00044729	22	40290976	FLJ25421
cg00047050	11	107879431	CUL5
cg00047469	9	116172568	C9orf43
cg00049986	14	35591414	C14orf10
cg00050312	17	64299065	PRKCA
cg00051623	11	104907029	CASP1
cg00051979	10	95462161	C10orf4
cg00053292	17	61678300	CCDC44
cg00053647	7	6866072	C7orf28B
cg00054706	2	68289972	C1D
cg00055233	9	5339677	RLN1
cg00056767	13	44453183	FLJ38725
cg00057593	8	143916959	GML
cg00058938	19	40724733	TTC9B
cg00059225	5	151304357	GLRA1
cg00059424	22	30988148	PES1
cg00059740	7	134855689	MGC5242
cg00059930	13	48894382	RB1
cg00060762	15	52264133	LEO1
cg00060882	X	24072811	EIF2S3
cg00061059	19	14640983	GPSN2
cg00061629	11	44325258	ALX4
cg00062776	19	49402424	TULP2
cg00063144	17	39554055	KRTHA1
cg00065385	9	111623395	ACTL7A
cg00065408	12	49212475	CACNB3
cg00066153	11	125550744	ACRV1
cg00066816	5	158758353	IL12B
cg00067471	19	1241377	ATP5D
cg00069261	16	22386531	CDR2
cg00071250	1	172628263	FASLG
cg00071998	6	31708121	MSH5
cg00072216	4	2263638	MXD4
cg00073650	16	88922166	HSPC176
cg00075967	15	74495354	STRA6
cg00076645	5	171711562	DC-UbP
cg00077457	1	90460000	ZNF326
cg00077877	8	131414474	DDEF1
cg00078194	11	46402949	MDK
cg00078867	X	48542398	WAS
cg00079056	9	33239641	SPINK4
cg00079563	22	43253521	ARFGAP3
cg00080012	11	85955689	EED
cg00081935	12	3186906	TSPAN9
cg00081975	17	48712370	ABCC3
cg00083720	20	17550917	DSTN
cg00083937	22	51039805	MAPK8IP2
cg00084687	7	92076896	GATAD1
cg00089071	17	36905809	PCGF2
cg00090147	8	11562367	GATA4
cg00091693	17	39041602	KRT20
cg00093177	17	37185495	FLJ43826
cg00094319	13	25670530	PABPC3
cg00094851	2	26205706	KIF3C
cg00095526	1	201081686	CACNA1S
cg00095674	1	150122654	PLEKHO1
cg00096922	7	96654185	DLX5
cg00097536	2	43454476	ZFP36L2
cg00098162	10	90619573	ANKRD22
cg00098239	19	7599173	NTE
cg00099550	10	43904438	HNRPF
cg00101227	1	161280266	MPZ
cg00103783	17	7487249	MPDU1
cg00105253	14	105647194	NUDT14
cg00105470	1	228290868	C1orf35
cg00107187	14	105070998	FLJ42486
cg00107488	22	19930437	TXNRD2
cg00107632	4	37828500	PGM2
cg00108454	1	22963614	C1QA
cg00109274	13	42623032	DGKH
cg00112517	17	37783011	PPP1R1B
cg00113020	19	55173482	LILRB4
cg00113951	12	121078090	CABP1
cg00115714	6	111196112	AMD1
cg00116234	9	18474243	ADAMTSL1
cg00116838	19	46001746	FLJ40125
cg00117172	1	25255838	RUNX3
cg00119079	3	182880278	LAMP3
cg00121158	9	6757826	JMJD2C
cg00121640	9	120176515	ASTN2
cg00121904	X	43741826	MAOB
cg00123035	1	151319538	RFX5
cg00126034	17	44896162	WNT3
cg00126657	X	47967250	SSX6
cg00126698	X	100640503	BTK
cg00128197	X	53461455	HADH2
cg00128560	16	3352013	TIGD7
cg00128654	14	90798063	C14orf102
cg00128766	1	47185216	KIAA0494
cg00128877	1	47070178	MKNK1
cg00129774	12	56360414	CDK2
cg00131121	7	102119710	POLR2J
cg00131557	13	43596656	DNAJC15
cg00132141	10	69456307	CTNNA3
cg00133909	15	73977201	CD276
cg00134539	21	43824071	UBASH3A
cg00134787	17	10419499	MYH1
cg00135056	3	128997295	C3orf37
cg00135393	4	155533661	FGG
cg00136105	12	102224911	GNPTAB
cg00136405	4	123542198	IL21
cg00136477	1	22970339	C1QC
cg00136736	22	29949905	C22orf19
cg00138126	20	56286697	TMEPAI
cg00141162	3	121379777	HCLS1
cg00141550	X	50027389	CCNB3
cg00141845	X	74493352	RP11-311P8.3
cg00143376	2	232394702	NMUR1
cg00143998	1	228645859	HIST3H2BB
cg00145118	5	141393931	GNPDA1
cg00145348	X	55026862	APEX2
cg00146096	11	22647309	FANCF
cg00149659	3	10157352	C3orf10
cg00149976	3	127541529	MGLL
cg00151234	X	77359363	PGK1
cg00151607	16	88923507	GALNS
cg00152644	1	153068236	SPRR2E
cg00155167	8	100025831	VPS13B
cg00155485	12	116714600	THRAP2
cg00155609	19	12912527	PRDX2
cg00156216	11	129939849	APLP2
cg00156744	5	171615663	STK10
cg00158308	13	97646341	OXGR1
cg00160914	1	112299263	C1orf183
cg00162401	6	52859823	GSTA4
cg00162643	9	32526492	DDX58
cg00164041	4	89378199	HERC5
cg00164898	22	50709127	MAPK11
cg00165981	5	74808039	COL4A3BP
cg00167504	7	43798622	BLVRA
cg00168082	9	133589177	ABL1
cg00168785	2	160142643	WDSUB1
cg00168942	10	35894430	CX40.1
cg00169548	14	35345132	BAZ1A
cg00171126	21	40752522	WRB
cg00171161	4	88343636	NUDT9
cg00174500	14	23846479	CMTM5
cg00174901	19	709889	PALM
cg00176210	8	41654967	ANK1
cg00176879	20	2843525	PTPRA
cg00177013	20	62339100	ARFRP1
cg00177698	17	46018875	PNPO
cg00177923	8	29952655	LEPROTL1
cg00178790	18	13726864	C18orf19
cg00179446	X	118986947	UPF3B
cg00180012	6	108615929	LACE1
cg00180631	X	149736640	MTM1
cg00182461	2	201754316	PPIL3
cg00183782	15	100138828	MEF2A
cg00183916	17	14204936	HS3ST3B1
cg00184884	22	31892343	SFI1
cg00184893	17	8021705	ALOXE3
cg00185103	19	44430886	ZNF45
cg00185839	11	804954	LRDD
cg00186141	7	131241768	PODXL
cg00186701	8	98290510	TSPYL5
cg00186954	11	8933980	ST5
cg00187380	12	54427384	HOXC5
cg00187686	11	59634218	TCN1
cg00188348	11	65768537	BANF1
cg00191052	X	46432770	CHST7
cg00194146	6	13488404	GFOD1
cg00195561	11	46408584	CHRM4
cg00197381	5	137673669	FAM53C
cg00197641	14	23299461	MRPL52
cg00199549	22	35795374	MCM5
cg00200063	17	58469941	USP32
cg00201234	3	13590968	FBLN2
cg00202702	11	101918157	MGC13040
cg00202711	X	113818410	HTR2C
cg00204262	19	39323158	ECH1
cg00206052	10	103348143	RP11-529I10.4
cg00207534	16	71929512	KIAA0174
cg00208830	1	183154778	LAMC2
cg00208967	19	10047924	OLFM2
cg00209066	22	50218923	BRD1
cg00209951	1	115212834	DENND2C
cg00210842	12	99039578	APAF1
cg00211661	11	72433619	CENTD2
cg00212549	3	122747620	SEMA5B
cg00213044	12	52886438	KRT6C
cg00213331	5	138463463	SIL1
cg00213714	9	119449370	TRIM32
cg00214346	17	66508517	PRKAR1A
cg00214794	17	39780623	KRT17
cg00214855	6	13813947	C6orf79
cg00215066	19	17212316	MYO9B
cg00216361	3	115342527	GAP43
cg00216758	11	560589	C11orf35
cg00217795	14	80677688	DIO2
cg00221494	13	98794593	FARP1
cg00223186	1	180472200	ACBD6
cg00223950	1	19536222	RBAF600
cg00224234	17	685693	RNMTL1
cg00224508	1	151031323	CDC42SE1
cg00226904	18	61157065	SERPINB5
cg00226923	6	36972027	FGD2
cg00228799	9	131580591	ENDOG
cg00229387	6	43445942	TJAP1
cg00230271	4	107237183	MGC16169
cg00230368	6	160389833	IGF2R
cg00230502	12	119772381	CCDC60
cg00230685	X	17755839	SCML1
cg00231140	18	47339702	ACAA2
cg00231644	6	3158512	TUBB2A
cg00231920	20	2821308	VPS16
cg00233307	19	39109076	MAP4K1
cg00234616	2	74740572	TLX2
cg00234961	22	50246573	ZBED4
cg00236832	17	38465489	RARA
cg00237010	12	772861	NINJ2
cg00238052	X	101380291	TCEAL2
cg00239071	14	100789737	C14orf68
cg00239419	17	57969186	RPS6KB1
cg00239685	3	39148342	GORASP1
cg00240312	16	68771514	CDH1
cg00240432	7	19157296	TWIST1
cg00240880	20	43343233	WISP2
cg00241355	12	6643629	GAPDH
cg00242839	10	6130578	RBM17
cg00243313	5	1883413	IRX4
cg00245878	7	64450875	H-plk
cg00247489	1	207628182	CR2
cg00250430	9	1051579	DMRT2
cg00253200	3	192636074	C3orf59
cg00256074	16	30386150	MYLPF
cg00256166	15	86338428	KLHL25
cg00256281	22	41985642	PMM1
cg00259755	10	134209763	PWWP2
cg00260778	10	15140412	C10orf111
cg00261552	12	12764894	CREBL2
cg00261781	2	20212517	MATN3
cg00262415	1	1242732	PUSL1
cg00263723	17	44450822	NSF
cg00263760	10	118897366	VAX1
cg00265415	1	235667507	B3GALNT2
cg00265490	8	98655845	MTDH
cg00268009	4	100010211	ADH5
cg00268338	10	93169495	HECTD2
cg00269115	1	23695530	LOC148898
cg00269932	19	55013296	LAIR2
cg00273068	20	39995747	EMILIN3
cg00273124	5	177581512	NOLA2
cg00274399	13	22245420	FGF9
cg00275232	19	45579541	ZNF342
cg00276797	10	105726614	SLK
cg00278366	12	110940287	RAD9B
cg00279797	X	109561918	AMMECR1
cg00280814	22	23745389	FLJ31568
cg00280894	X	101478963	NXF2
cg00282347	1	6241040	CHD5
cg00282683	7	156931995	UBE3C
cg00283535	8	124749564	ANXA13
cg00288562	7	23571645	TRA2A
cg00290028	13	37393125	RFXAP
cg00290506	1	224804226	CNIH3
cg00291877	15	101835933	SNRPA1
cg00292662	22	38071168	LGALS1
cg00292971	7	143060536	KIAA0773
cg00293409	3	196366669	LRRC33
cg00294382	12	56732721	IL23A
cg00295206	3	128444813	RAB7
cg00295325	2	169887932	ABCB11
cg00296685	6	30876072	GTF2H4
cg00297584	12	116971031	FLJ42957
cg00297600	8	35401670	UNC5D
cg00298357	5	148758791	IL17B
cg00298951	12	108733791	CMKLR1
cg00301864	12	120554472	RAB35
cg00302793	4	102268125	PPP3CA
cg00303548	13	96742413	HS6ST3
cg00304278	17	60557152	TLK2
cg00307685	1	92415524	BRDT
cg00308133	19	1401118	GAMT
cg00308665	13	47469654	HTR2A
cg00309056	7	38218112	STARD3NL
cg00309204	17	7307432	C17orf61
cg00311768	8	144698857	TSTA3
cg00312919	7	38217710	STARD3NL
cg00314943	2	233270750	ALPPL2
cg00315936	7	127292739	SND1
cg00317680	8	97274070	MTERFD1
cg00318573	20	61993118	CHRNA4
cg00318865	12	52345896	ACVR1B
cg00319692	8	87111119	ATP6V0D2
cg00319761	16	3030447	PKMYT1
cg00320243	19	18314691	RAB3A
cg00321065	1	40627063	RLF
cg00321478	1	197238398	CRB1
cg00323915	7	150264987	GIMAP4
cg00324733	11	17298347	NUCB2
cg00325491	11	93286170	FN5
cg00327185	11	111896498	DLAT
cg00327483	1	160160587	CASQ1
cg00328227	1	109204325	C1orf59
cg00331237	12	77273319	CSRP2
cg00331433	X	16737800	SYAP1
cg00332153	4	102712010	BANK1
cg00332745	16	67208247	NOL3
cg00333226	7	49813763	UNQ739
cg00333528	6	89927485	GABRR1
cg00334507	16	29824599	MVP
cg00335286	18	13916355	MC2R
cg00336605	19	50879437	NR1H2
cg00338702	12	133463694	CHFR
cg00338893	7	140714614	MRPS33
cg00340102	20	34129456	ERGIC3
cg00342530	9	130027020	GARNL3
cg00343092	22	43547974	BZRP
cg00344358	12	56135693	GDF11
cg00344372	4	3443625	HGFAC
cg00344709	21	14982225	ANKRD21
cg00346145	4	109541559	RPL34
cg00347729	11	102651753	MMP10
cg00347904	6	35182508	SCUBE3
cg00350296	11	66084841	CD248
cg00350478	6	168480013	FRMD1
cg00350702	20	34129927	ERGIC3
cg00351011	19	8274460	LASS4
cg00353953	12	6799541	ZNF384
cg00354258	19	57306738	ZIM2
cg00354572	12	81471419	FLJ21963
cg00355802	8	29208983	DUSP4
cg00359325	3	49377419	USP4
cg00359973	X	53449900	RIBC1
cg00363813	12	6664872	HOM-TES-103
cg00364344	11	6640644	TPP1
cg00364814	12	57691455	R3HDM2
cg00365193	6	2999395	NQO2
cg00367281	8	42552470	CHRNB3
cg00367438	7	150780797	C7orf21
